employee_id,first_name,last_name,email,hire_date,department_id,department_name,dept_employee_count,dept_earliest_hire,dept_latest_hire,employee_created_at,employee_updated_at,department_created_at,department_updated_at
436,Alexandra,Arellano,alexandra.arellano@company.com,2025-04-23 09:09:56.567076,25,Customer Support,22,2025-04-23 09:09:56.566997,2025-04-23 09:09:56.589107,2025-04-23 09:09:56.567077,2025-04-23 09:09:56.567078,2025-04-23 09:09:56.546881,2025-04-23 09:09:56.546882
450,Robert,Best,robert.best@company.com,2025-04-23 09:09:56.567104,25,Customer Support,22,2025-04-23 09:09:56.566997,2025-04-23 09:09:56.589107,2025-04-23 09:09:56.567104,2025-04-23 09:09:56.567105,2025-04-23 09:09:56.546881,2025-04-23 09:09:56.546882
398,Ryan,Carroll,ryan.carroll@company.com,2025-04-23 09:09:56.566997,25,Customer Support,22,2025-04-23 09:09:56.566997,2025-04-23 09:09:56.589107,2025-04-23 09:09:56.566998,2025-04-23 09:09:56.566998,2025-04-23 09:09:56.546881,2025-04-23 09:09:56.546882
582,Brandy,Conner,brandy.conner@company.com,2025-04-23 09:09:56.589104,25,Customer Support,22,2025-04-23 09:09:56.566997,2025-04-23 09:09:56.589107,2025-04-23 09:09:56.589104,2025-04-23 09:09:56.589105,2025-04-23 09:09:56.546881,2025-04-23 09:09:56.546882
502,Thomas,Juarez,thomas.juarez@company.com,2025-04-23 09:09:56.588947,25,Customer Support,22,2025-04-23 09:09:56.566997,2025-04-23 09:09:56.589107,2025-04-23 09:09:56.588948,2025-04-23 09:09:56.588948,2025-04-23 09:09:56.546881,2025-04-23 09:09:56.546882
405,Johnny,Lopez,johnny.lopez@company.com,2025-04-23 09:09:56.567012,25,Customer Support,22,2025-04-23 09:09:56.566997,2025-04-23 09:09:56.589107,2025-04-23 09:09:56.567013,2025-04-23 09:09:56.567014,2025-04-23 09:09:56.546881,2025-04-23 09:09:56.546882
503,Eric,Martin,eric.martin@company.com,2025-04-23 09:09:56.588949,25,Customer Support,22,2025-04-23 09:09:56.566997,2025-04-23 09:09:56.589107,2025-04-23 09:09:56.588950,2025-04-23 09:09:56.588950,2025-04-23 09:09:56.546881,2025-04-23 09:09:56.546882
482,Audrey,Mays,audrey.mays@company.com,2025-04-23 09:09:56.567166,25,Customer Support,22,2025-04-23 09:09:56.566997,2025-04-23 09:09:56.589107,2025-04-23 09:09:56.567166,2025-04-23 09:09:56.567167,2025-04-23 09:09:56.546881,2025-04-23 09:09:56.546882
449,Kathleen,Mcknight,kathleen.mcknight@company.com,2025-04-23 09:09:56.567102,25,Customer Support,22,2025-04-23 09:09:56.566997,2025-04-23 09:09:56.589107,2025-04-23 09:09:56.567102,2025-04-23 09:09:56.567103,2025-04-23 09:09:56.546881,2025-04-23 09:09:56.546882
584,Tracy,Moore,tracy.moore@company.com,2025-04-23 09:09:56.589107,25,Customer Support,22,2025-04-23 09:09:56.566997,2025-04-23 09:09:56.589107,2025-04-23 09:09:56.589108,2025-04-23 09:09:56.589109,2025-04-23 09:09:56.546881,2025-04-23 09:09:56.546882
